time,rpm,velocidade,temperatura,combustivel
2025-02-28 16:38:35.612165,None,None,None,None
2025-02-28 16:38:36.622427,None,None,None,None
2025-02-28 16:38:37.628899,None,None,None,None
2025-02-28 16:38:38.635396,None,None,None,None
2025-02-28 16:38:39.641258,None,None,None,None
2025-02-28 16:38:40.647642,None,None,None,None
2025-02-28 16:38:41.653953,None,None,None,None
2025-02-28 16:38:42.660005,None,None,None,None
2025-02-28 16:38:43.665554,None,None,None,None
